reader_id,presentation_index,case_id,seed,freeze_id,created_at
Doctor_01,1,CASE-042,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,2,BM-027,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,3,CASE-002,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,4,CASE-004,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,5,CASE-095,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,6,CASE-067,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,7,CASE-078,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,8,BM-038,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,9,BM-002,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,10,CASE-088,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,11,CASE-032,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,12,CASE-017,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,13,CASE-068,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,14,CASE-006,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,15,CASE-085,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,16,BM-043,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,17,CASE-046,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,18,BM-040,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,19,CASE-089,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,20,BM-034,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,21,CASE-057,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,22,CASE-084,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,23,BM-042,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,24,BM-047,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
Doctor_01,25,CASE-021,20260810,reader_round2_freeze_20260810,2026-08-10T03:43:20Z
